timestamp,/TM023_4_22_1.-103C/Lon/Net/Rum 1.363/PIR_activity_1.363,/TM023_4_22_1.-103C/Lon/Net/Rum 1.352/PIR_activity_1.352,/TM023_4_22_1.-103C/Lon/Net/Rum 1.401/PIR_activity_1.401,/TM023_4_22_1.-103C/Lon/Net/Rum 1.365/PIR_activity_1.365,/TM023_4_22_1.-103C/Lon/Net/Rum 1.342/PIR_activity_1.342,/TM023_4_22_1.-103C/Lon/Net/Rum 1.354/PIR_activity_1.354,/TM023_4_22_1.-103C/Lon/Net/Rum 1.348/PIR_activity_1.348,/TM023_4_22_1.-103C/Lon/Net/Rum 1.346/PIR_activity_1.346,/TM023_4_22_1.-103C/Lon/Net/Rum 1.340/PIR_activity_1.340,/TM023_4_22_1.-103C/Lon/Net/Rum 1.361/PIR_activity_1.361,/TM023_4_22_1.-103C/Lon/Net/Rum 1.367/PIR_activity_1.367,/TM023_4_22_1.-103C/Lon/Net/Rum 1.350/PIR_activity_1.350,/TM023_4_22_1.-103C/Lon/Net/Rum 1.359/PIR_activity_1.359,/TM023_3_21_1.204/PIR_activity_1.255,/TM023_3_21_1.204/PIR_activity_1.257,/TM023_3_21_1.204/PIR_activity_1.252,/TM023_3_21_1.204/PIR_activity_1.260,/TM023_3_21_1.204/PIR_activity_1.251,/TM023_3_21_1.204/PIR_activity_1.253,/TM023_3_21_1.204/PIR_activity_1.258,/TM023_3_21_1.204/PIR_activity_1.256,/TM023_1_20_1101/R 1.015/Logninger/PIR Efterløb,/TM023_3_21_1.204/PIR_activity_1.250,/TM023_1_20_1101/STATUS_PIR,/TM023_3_21_1.204/PIR_activity_1.263,/TM023_3_21_1.204/PIR_activity_1.248,/TM023_3_21_1.204/Lon/Net/Rum 1.253/PIR_1.253,/TM023_3_21_1.204/Lon/Net/Rum 1.263/PIR_1.263,/TM023_4_22_1.-103C/Lon/Net/Rum 1.401/PIR_1.401,/TM023_4_21_1.-103C/Lon/Net/Rum 1.338/PIR_activity_1.338,/TM023_4_21_1.-103C/Lon/Net/Rum 1.336/PIR_activity_1.336,/TM023_4_21_1.-103C/Lon/Net/Rum 1.334/PIR_activity_1.334,/TM023_4_21_1.-103C/Lon/Net/Rum 1.332/PIR_activity_1.332,/TM023_4_21_1.-103C/Lon/Net/Rum 1.330/PIR_activity_1.330,/TM023_4_21_1.-103C/Lon/Net/Rum 1.328/PIR_activity_1.328,/TM023_4_21_1.-103C/Lon/Net/Rum 1.326/PIR_activity_1.326,/TM023_4_21_1.-103C/Lon/Net/Rum 1.324/PIR_activity_1.324,/TM023_4_21_1.-103C/Lon/Net/Rum 1.322/PIR_activity_1.322,/TM023_4_21_1.-103C/Lon/Net/Rum 1.320/PIR_activity_1.320,/TM023_4_21_1.-103C/Lon/Net/Rum 1.318/PIR_activity_1.318,/TM023_4_21_1.-103C/Lon/Net/Rum 1.316/PIR_activity_1.316,/TM023_4_21_1.-103C/Lon/Net/Rum 1.314/PIR_activity_1.314,/TM023_4_21_1.-103C/Lon/Net/Rum 1.312/PIR_activity_1.312,/TM023_4_21_1.-103C/Lon/Net/Rum 1.310/PIR_activity_1.310,/TM023_4_21_1.-103C/Lon/Net/Rum 1.308/PIR_activity_1.308,/TM023_4_21_1.-103C/Lon/Net/Rum 1.306/PIR_activity_1.306,/TM023_4_21_1.-103C/Lon/Net/Rum 1.337/PIR_activity_1.337,/TM023_4_21_1.-103C/Lon/Net/Rum 1.335/PIR_activity_1.335,/TM023_4_21_1.-103C/Lon/Net/Rum 1.333/PIR_activity_1.334,/TM023_4_21_1.-103C/Lon/Net/Rum 1.331/PIR_activity_1.331,/TM023_4_21_1.-103C/Lon/Net/Rum 1.329/PIR_activity_1.329,/TM023_4_20_1.-103C/Lon/Lon/Rum 1.303/PIR_activity_1.303,/TM023_4_20_1.-103C/Lon/Lon/Rum 1.305/PIR_activity_1.305,/TM023_4_20_1.-103C/Lon/Lon/Rum 1.307/PIR_activity_1.307,/TM023_4_20_1.-103C/Lon/Lon/Rum 1.309/PIR_activity_1.309,/TM023_4_20_1.-103C/Lon/Lon/Rum 1.311/PIR_activity_1.311,/TM023_4_20_1.-103C/Lon/Lon/Rum 1.313/PIR_activity_1.313,/TM023_4_20_1.-103C/Lon/Lon/Rum 1.315/PIR_activity_1.315,/TM023_4_20_1.-103C/Lon/Lon/Rum 1.317/PIR_activity_1.317,/TM023_4_20_1.-103C/Lon/Lon/Rum 1.319/PIR_activity_1.319,/TM023_4_20_1.-103C/Lon/Lon/Rum 1.321/PIR_activity_1.321,/TM023_4_20_1.-103C/Lon/Lon/Rum 1.323/PIR_activity_1.323,/TM023_4_20_1.-103C/Lon/Lon/Rum 1.325/PIR_activity_1.325,/TM023_4_20_1.-103C/Lon/Lon/Rum 1.327/PIR_activity_1.327,/TM023_4_20_1.-103C/Lon/Lon/Rum 1.339/PIR_activity_1.339,/TM023_4_20_1.-103C/Lon/Lon/Rum 1.341/PIR_activity_1.341,/TM023_4_20_1.-103C/Lon/Lon/Rum 1.343/PIR_activity_1.343,/TM023_4_20_1.-103C/Lon/Lon/Rum 1.345/PIR_activity_1.345,/TM023_4_20_1.-103C/Lon/Lon/Rum 1.347/PIR_activity_1.347,/TM023_4_20_1.-103C/Lon/Lon/Rum 1.349/PIR_activity_1.349,/TM023_4_20_1.-103C/Lon/Lon/Rum 1.351/PIR_activity_1.351,/TM023_4_20_1.-103C/Lon/Lon/Rum 1.353/PIR_activity_1.353,/TM023_4_20_1.-103C/Lon/Lon/Rum 1.355/PIR_activity_1.355,/TM023_3_20_1.204/Lon/Net/Rum 1.201/PIR_activity_1.201,/TM023_3_20_1.204/Lon/Net/Rum 1.203/PIR_activity_1.203,/TM023_3_20_1.204/Lon/Net/Rum 1.205/PIR_activity_1.205,/TM023_3_20_1.204/Lon/Net/Rum 1.207/PIR_activity_1.207,/TM023_3_20_1.204/Lon/Net/Rum 1.209/PIR_activity_1.209,/TM023_3_21_1.204/Lon/Net/Rum 1.210/PIR_activity_1.210,/TM023_3_20_1.204/Lon/Net/Rum 1.211/PIR_activity_1.211,/TM023_3_21_1.204/Lon/Net/Rum 1.212/PIR_activity_1.212,/TM023_3_20_1.204/Lon/Net/Rum 1.213/PIR_activity_1.213,/TM023_3_21_1.204/Lon/Net/Rum 1.214/PIR_activity_1.214,/TM023_3_20_1.204/Lon/Net/Rum 1.215/PIR_activity_1.215,/TM023_3_21_1.204/Lon/Net/Rum 1.216/PIR_activity_1.216,/TM023_3_20_1.204/Lon/Net/Rum 1.217/PIR_activity_1.217,/TM023_3_21_1.204/Lon/Net/Rum 1.218/PIR_activity_1.218,/TM023_3_21_1.204/Lon/Net/Rum 1.220/PIR_activity_1.220,/TM023_3_20_1.204/Lon/Net/Rum 1.221/PIR_activity_1.221,/TM023_3_21_1.204/Lon/Net/Rum 1.222/PIR_activity_1.222,/TM023_3_20_1.204/Lon/Net/Rum 1.229/PIR_activity_1.229,/TM023_3_20_1.204/Lon/Net/Rum 1.231/PIR_activity_1.231,/TM023_3_21_1.204/Lon/Net/Rum 1.232/PIR_activity_1.232,/TM023_3_20_1.204/Lon/Net/Rum 1.233/PIR_activity_1.233,/TM023_3_20_1.204/Lon/Net/Rum 1.235/PIR_activity_1.235,/TM023_3_20_1.204/Lon/Net/Rum 1.237/PIR_activity_1.237,/TM023_3_21_1.204/Lon/Net/Rum 1.238/PIR_activity_1.238,/TM023_3_20_1.204/Lon/Net/Rum 1.239/PIR_activity_1.239,/TM023_3_20_1.204/Lon/Net/Rum 1.241/PIR_activity_1.241,/TM023_3_21_1.204/Lon/Net/Rum 1.242/PIR_activity_1.242,/TM023_3_20_1.204/Lon/Net/Rum 1.243/PIR_activity_1.243,/TM023_1_20_1101/R 1.015/PIR_Activity_1.015,/TM023_1_20_1103/R 1.001/PIR_Activity_1.001
2024-01-01 01:00:00,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2024-01-01 01:01:00,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 01:02:00,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 01:03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 01:04:00,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 01:05:00,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 01:06:00,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 01:07:00,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 01:08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 01:09:00,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
