time,/TM023_0_21_1125/Lon/Net/LAB01_QMV01/Kamstrup_HEAT_KMP_TAC/Node Object [0]/Space_heating_LAB01_energy,/TM023_0_21_1125/Lon/Net/LAB01_QMV01/Kamstrup_HEAT_KMP_TAC/Node Object [0]/Space_heating_LAB01_volume,/TM023_0_21_1125/Lon/Net/LAB01_QMV01/Kamstrup_HEAT_KMP_TAC/Node Object [0]/Space_heating_LAB01_power,/TM023_0_21_1125/Lon/Net/LAB01_QMV01/Kamstrup_HEAT_KMP_TAC/Node Object [0]/Space_heating_LAB01_flow,/TM023_0_21_1125/Lon/Net/LAB01_QMV01/Kamstrup_HEAT_KMP_TAC/Node Object [0]/Space_heating_LAB01_supply_temperature,/TM023_0_21_1125/Lon/Net/LAB01_QMV01/Kamstrup_HEAT_KMP_TAC/Node Object [0]/Space_heating_LAB01_return_temperature,/TM023_0_21_1125/Lon/Net/LAB01_QMV01/Kamstrup_HEAT_KMP_TAC/Node Object [0]/Space_heating_LAB01_operation_hours
2024-01-01 04:42:00,264549984.0,5668000.0,11200.0,0.0577777773,70.5800018311,23.0200004578,64831.0
2024-01-01 04:43:00,264549984.0,5668000.0,10800.0,0.0558333322,70.5800018311,23.0200004578,64831.0
2024-01-01 04:44:00,264549984.0,5668000.0,11600.0,0.0599999987,70.5800018311,23.0200004578,64831.0
2024-01-01 04:45:00,264549984.0,5668000.0,11200.0,0.0577777773,70.5800018311,23.0200004578,64831.0
2024-01-01 04:46:00,264549984.0,5668000.0,11600.0,0.0599999987,70.5800018311,23.0200004578,64831.0
2024-01-01 04:47:00,264549984.0,5668000.0,11200.0,0.0577777773,70.5800018311,23.0200004578,64831.0
2024-01-01 04:48:00,264549984.0,5668000.0,11600.0,0.0599999987,70.5800018311,23.0200004578,64831.0
2024-01-01 04:49:00,264549984.0,5668000.0,11600.0,0.0599999987,70.5800018311,23.0200004578,64831.0
2024-01-01 04:50:00,264549984.0,5668000.0,11600.0,0.0599999987,70.7699966431,23.3400001526,64831.0
2024-01-01 04:51:00,264549984.0,5668000.0,11600.0,0.0599999987,70.7699966431,23.3400001526,64831.0
2024-01-01 04:52:00,264549984.0,5668000.0,11600.0,0.0599999987,70.7699966431,23.3400001526,64831.0
2024-01-01 04:53:00,264549984.0,5668000.0,11100.0,0.0577777773,70.7699966431,23.3400001526,64831.0
2024-01-01 04:54:00,264549984.0,5668000.0,10800.0,0.0558333322,70.7699966431,23.3400001526,64831.0
2024-01-01 04:55:00,264549984.0,5668000.0,10800.0,0.0558333322,70.7699966431,23.3400001526,64831.0
2024-01-01 04:56:00,264549984.0,5668000.0,10400.0,0.0538888872,70.7699966431,23.3400001526,64831.0
2024-01-01 04:57:00,264549984.0,5668000.0,10400.0,0.0538888872,70.7699966431,23.3400001526,64831.0
2024-01-01 04:58:00,264549984.0,5668000.0,10400.0,0.0538888872,70.7699966431,23.3400001526,64831.0
2024-01-01 04:59:00,264549984.0,5668000.0,10400.0,0.0538888872,70.7699966431,23.3400001526,64831.0
2024-01-01 05:00:00,264549984.0,5668000.0,10500.0,0.0538888872,70.8099975586,22.9799995422,64831.0
2024-01-01 05:01:00,264549984.0,5668000.0,10500.0,0.0538888872,70.8099975586,22.9799995422,64831.0
2024-01-01 05:02:00,264549984.0,5668000.0,10500.0,0.0538888872,70.8099975586,22.9799995422,64831.0
2024-01-01 05:03:00,264549984.0,5668000.0,10500.0,0.0538888872,70.8099975586,22.9799995422,64831.0
2024-01-01 05:04:00,264549984.0,5668000.0,10900.0,0.0558333322,70.8099975586,22.9799995422,64831.0
