externallogid,source,timestamp,timestamp_tzinfo,value
4604,/TM023_4_22_1.-103C/Lon/Net/Rum 1.363/PIR_activity_1.363,2024-01-01 01:09:45,248,0.0
4604,/TM023_4_22_1.-103C/Lon/Net/Rum 1.363/PIR_activity_1.363,2024-01-01 01:08:45,248,0.0
4604,/TM023_4_22_1.-103C/Lon/Net/Rum 1.363/PIR_activity_1.363,2024-01-01 01:07:45,248,0.0
4604,/TM023_4_22_1.-103C/Lon/Net/Rum 1.363/PIR_activity_1.363,2024-01-01 01:06:45,248,0.0
4604,/TM023_4_22_1.-103C/Lon/Net/Rum 1.363/PIR_activity_1.363,2024-01-01 01:05:45,248,0.0
4604,/TM023_4_22_1.-103C/Lon/Net/Rum 1.363/PIR_activity_1.363,2024-01-01 01:04:45,248,0.0
4604,/TM023_4_22_1.-103C/Lon/Net/Rum 1.363/PIR_activity_1.363,2024-01-01 01:03:45,248,0.0
4604,/TM023_4_22_1.-103C/Lon/Net/Rum 1.363/PIR_activity_1.363,2024-01-01 01:02:45,248,0.0
4604,/TM023_4_22_1.-103C/Lon/Net/Rum 1.363/PIR_activity_1.363,2024-01-01 01:01:45,248,0.0
4604,/TM023_4_22_1.-103C/Lon/Net/Rum 1.363/PIR_activity_1.363,2024-01-01 01:00:45,248,0.0
4710,/TM023_4_22_1.-103C/Lon/Net/Rum 1.352/PIR_activity_1.352,2024-01-01 01:59:21,248,0.0
4710,/TM023_4_22_1.-103C/Lon/Net/Rum 1.352/PIR_activity_1.352,2024-01-01 01:58:21,248,0.0
4710,/TM023_4_22_1.-103C/Lon/Net/Rum 1.352/PIR_activity_1.352,2024-01-01 01:57:21,248,0.0
4710,/TM023_4_22_1.-103C/Lon/Net/Rum 1.352/PIR_activity_1.352,2024-01-01 01:56:21,248,0.0
4710,/TM023_4_22_1.-103C/Lon/Net/Rum 1.352/PIR_activity_1.352,2024-01-01 01:55:21,248,0.0
4710,/TM023_4_22_1.-103C/Lon/Net/Rum 1.352/PIR_activity_1.352,2024-01-01 01:54:21,248,0.0
