timestamp,RoomA:Light__level__ceiling,RoomA:Light__manual_on_off_signal,RoomA:People__amount,RoomA:Sensor__CO2,RoomA:Sensor__room_temperature,RoomA:Window__opened_closed,RoomA_is_occupied
2023-04-01 13:05:00,22.40539742,0.0,0.0,468.0,21.22999954,0.0,0
2023-04-01 13:10:00,22.58797264,0.0,0.0,468.0,21.35000038,0.0,0
2023-04-01 13:15:00,23.47091103,0.0,0.0,468.0,21.25,0.0,0
2023-04-01 13:20:00,23.88179588,0.0,0.0,468.0,21.28000069,0.0,0
2023-04-01 13:25:00,23.95037651,0.0,0.0,468.0,21.19000053,0.0,0
2023-04-01 13:30:00,24.08467484,0.0,0.0,468.0,21.25,0.0,0
2023-04-01 13:35:00,24.19208908,0.0,0.0,468.0,21.35000038,0.0,0
2023-04-01 13:40:00,24.63372803,0.0,0.0,468.0,21.42000008,0.0,0
2023-04-01 13:45:00,25.02594566,0.0,0.0,468.0,21.25,0.0,0
2023-04-01 13:50:00,25.05546379,0.0,0.0,468.0,21.37000084,0.0,0
2023-04-01 13:55:00,25.13817406,0.0,0.0,468.0,21.28000069,0.0,0
2023-04-01 14:00:00,25.25596619,0.0,0.0,468.0,21.12000084,0.0,0
2023-04-01 14:05:00,25.26353264,0.0,0.0,468.0,21.13999939,0.0,0
2023-04-01 14:10:00,25.41558647,0.0,0.0,468.0,21.10000038,0.0,0
2023-04-01 14:15:00,25.43697166,0.0,0.0,468.0,21.19000053,0.0,0
2023-04-01 14:20:00,25.63436699,0.0,0.0,468.0,21.29999924,0.0,0
2023-04-01 14:25:00,26.37611961,0.0,0.0,468.0,21.13999939,0.0,0
2023-04-01 14:30:00,26.87257576,0.0,0.0,468.0,21.28000069,0.0,0
2023-04-01 14:35:00,27.67767715,0.0,0.0,468.0,21.28000069,0.0,0
2023-04-01 14:40:00,28.36052322,0.0,0.0,468.0,21.25,0.0,0
2023-04-01 14:45:00,29.51591873,0.0,0.0,468.0,21.13999939,0.0,0
2023-04-01 14:50:00,30.8430748,0.0,0.0,468.0,21.22999954,0.0,0
2023-04-01 14:55:00,32.21631622,0.0,0.0,468.0,21.37000084,0.0,0
2023-04-01 15:00:00,33.75871658,0.0,0.0,468.0,21.22999954,0.0,0
2023-04-01 15:05:00,35.48437119,0.0,0.0,468.0,21.35000038,0.0,0
2023-04-01 15:10:00,37.457901,0.0,0.0,468.0,21.31999969,0.0,0
2023-04-01 15:15:00,39.57613754,0.0,0.0,468.0,21.35000038,0.0,0
2023-04-01 15:20:00,41.54100418,0.0,0.0,468.0,21.38999939,0.0,0
2023-04-01 15:25:00,43.29520035,0.0,0.0,468.0,21.48999977,0.0,0
2023-04-01 15:30:00,45.09703827,0.0,0.0,468.0,21.55999947,0.0,0
2023-04-01 15:35:00,47.16189575,0.0,0.0,468.0,21.48999977,0.0,0
2023-04-01 15:40:00,49.18438339,0.0,0.0,468.0,21.61000061,0.0,0
2023-04-01 15:45:00,51.05260086,0.0,0.0,468.0,21.59000015,0.0,0
2023-04-01 15:50:00,53.03473663,0.0,0.0,468.0,21.55999947,0.0,0
2023-04-01 15:55:00,54.84841537,0.0,0.0,468.0,21.61000061,0.0,0
2023-04-01 16:00:00,56.54467392,0.0,0.0,468.0,21.61000061,0.0,0
2023-04-01 16:05:00,58.36308289,0.0,0.0,468.0,21.72999954,0.0,0
2023-04-01 16:10:00,60.55607986,0.0,0.0,468.0,21.82999992,0.0,0
2023-04-01 16:15:00,63.2268219,0.0,0.0,468.0,21.82999992,0.0,0
2023-04-01 16:20:00,66.00107574,0.0,0.0,468.0,21.82999992,0.0,0
2023-04-01 16:25:00,68.79169464,0.0,0.0,468.0,21.98999977,0.0,0
2023-04-01 16:30:00,71.4023056,0.0,0.0,468.0,22.17000008,0.0,0
2023-04-01 16:35:00,77.44776154,0.0,0.0,468.0,22.19000053,0.0,0
2023-04-01 16:40:00,82.01572418,0.0,0.0,468.0,22.12999916,0.0,0
2023-04-01 16:45:00,87.77674866,0.0,0.0,468.0,22.19000053,0.0,0
2023-04-01 16:50:00,98.53526306,0.0,0.0,468.0,22.44000053,0.0,0
2023-04-01 16:55:00,109.8009338,0.0,0.0,468.0,22.46999931,0.0,0
2023-04-01 17:00:00,120.5416107,0.0,0.0,468.0,22.30999947,0.0,0
2023-04-01 17:05:00,129.7095795,0.0,0.0,468.0,22.65999985,0.0,0
2023-04-01 17:10:00,145.2067108,0.0,0.0,468.0,22.57999992,0.0,0
2023-04-01 17:15:00,168.6813202,0.0,0.0,468.0,22.65999985,0.0,0
2023-04-01 17:20:00,193.5157166,0.0,0.0,468.0,22.65999985,0.0,0
2023-04-01 17:25:00,204.5612183,0.0,0.0,468.0,22.79999924,0.0,0
2023-04-01 17:30:00,199.1722717,0.0,0.0,468.0,22.78000069,0.0,0
2023-04-01 17:35:00,210.6362305,0.0,0.0,468.0,22.89999962,0.0,0
2023-04-01 17:40:00,257.0146484,0.0,0.0,468.0,23.02000046,0.0,0
2023-04-01 17:45:00,291.0248413,0.0,0.0,468.0,23.04000092,0.0,0
2023-04-01 17:50:00,282.4104004,0.0,0.0,468.0,23.18000031,0.0,0
2023-04-01 17:55:00,269.9108582,0.0,0.0,468.0,23.15999985,0.0,0
2023-04-01 18:00:00,265.7704163,0.0,0.0,468.0,23.29000092,0.0,0
2023-04-01 18:05:00,263.7420654,0.0,0.0,468.0,23.20000076,0.0,0
2023-04-01 18:10:00,244.1705322,0.0,0.0,468.0,23.43000031,0.0,0
2023-04-01 18:15:00,242.1413422,0.0,0.0,468.0,23.29000092,0.0,0
2023-04-01 18:20:00,251.7488556,0.0,0.0,468.0,23.29000092,0.0,0
2023-04-01 18:25:00,253.186676,0.0,0.0,468.0,23.43000031,0.0,0
2023-04-01 18:30:00,243.0457764,0.0,0.0,468.0,23.43000031,0.0,0
2023-04-01 18:35:00,222.6757507,0.0,0.0,468.0,23.52000046,0.0,0
2023-04-01 18:40:00,204.0214996,0.0,0.0,468.0,23.54000092,0.0,0
2023-04-01 18:45:00,183.5100098,0.0,0.0,468.0,23.56999969,0.0,0
2023-04-01 18:50:00,157.2731934,0.0,0.0,468.0,23.59000015,0.0,0
2023-04-01 18:55:00,135.2522125,0.0,0.0,468.0,23.54000092,0.0,0
2023-04-01 19:00:00,119.3373795,0.0,0.0,468.0,23.56999969,0.0,0
2023-04-01 19:05:00,106.7352753,0.0,0.0,468.0,23.56999969,0.0,0
2023-04-01 19:10:00,92.57344818,0.0,0.0,468.0,23.59000015,0.0,0
2023-04-01 19:15:00,79.8817215,0.0,0.0,468.0,23.56999969,0.0,0
2023-04-01 19:20:00,66.0289917,0.0,0.0,468.0,23.61000061,0.0,0
2023-04-01 19:25:00,50.67579269,0.0,0.0,468.0,23.70000076,0.0,0
2023-04-01 19:30:00,37.76501465,0.0,0.0,468.0,24.12999916,0.0,0
2023-04-01 19:35:00,27.24744987,0.0,0.0,468.0,24.29000092,0.0,0
2023-04-01 19:40:00,19.04049683,0.0,0.0,468.0,24.23999977,0.0,0
2023-04-01 19:45:00,7.937735081,0.0,0.0,468.0,23.94000053,0.0,0
2023-04-01 19:50:00,5.329259396,0.0,0.0,468.0,23.84000015,0.0,0
2023-04-01 19:55:00,3.947596073,0.0,0.0,468.0,23.70000076,0.0,0
2023-04-01 20:00:00,2.831017971,0.0,0.0,468.0,23.65999985,0.0,0
2023-04-01 20:05:00,2.167331934,0.0,0.0,468.0,23.47999954,0.0,0
2023-04-01 20:10:00,1.999843717,0.0,0.0,468.0,23.5,0.0,0
2023-04-01 20:15:00,1.95557034,0.0,0.0,468.0,23.45000076,0.0,0
2023-04-01 20:20:00,2.007488966,0.0,0.0,468.0,23.45000076,0.0,0
2023-04-01 20:25:00,1.983416677,0.0,0.0,468.0,23.37999916,0.0,0
2023-04-01 20:30:00,1.952998638,0.0,0.0,468.0,23.40999985,0.0,0
2023-04-01 20:35:00,1.938157201,0.0,0.0,468.0,23.36000061,0.0,0
2023-04-01 20:40:00,1.935281873,0.0,0.0,468.0,23.27000046,0.0,0
2023-04-01 20:45:00,1.902843952,0.0,0.0,468.0,23.20000076,0.0,0
2023-04-01 20:50:00,1.93264699,0.0,0.0,468.0,23.15999985,0.0,0
2023-04-01 20:55:00,1.970866561,0.0,0.0,468.0,23.11000061,0.0,0
2023-04-01 21:00:00,1.981277585,0.0,0.0,468.0,23.15999985,0.0,0
2023-04-01 21:05:00,1.92412436,0.0,0.0,468.0,23.13999939,0.0,0
2023-04-01 21:10:00,1.970291853,0.0,0.0,468.0,22.87000084,0.0,0
2023-04-01 21:15:00,1.940913677,0.0,0.0,468.0,22.87000084,0.0,0
2023-04-01 21:20:00,1.935427189,0.0,0.0,468.0,22.85000038,0.0,0
2023-04-01 21:25:00,1.99470818,0.0,0.0,468.0,22.87000084,0.0,0
2023-04-01 21:30:00,1.974098563,0.0,0.0,468.0,22.85000038,0.0,0
2023-04-01 21:35:00,2.013778448,0.0,0.0,468.0,22.79999924,0.0,0
2023-04-01 21:40:00,1.955828548,0.0,0.0,468.0,22.89999962,0.0,0
2023-04-01 21:45:00,1.938894987,0.0,0.0,468.0,22.79999924,0.0,0
2023-04-01 21:50:00,2.04786849,0.0,0.0,468.0,22.68000031,0.0,0
2023-04-01 21:55:00,2.001910448,0.0,0.0,468.0,22.57999992,0.0,0
2023-04-01 22:00:00,1.987145782,0.0,0.0,468.0,22.65999985,0.0,0
2023-04-01 22:05:00,1.944656849,0.0,0.0,468.0,22.61000061,0.0,0
2023-04-01 22:10:00,1.927927017,0.0,0.0,468.0,22.61000061,0.0,0
2023-04-01 22:15:00,1.990087867,0.0,0.0,468.0,22.51000023,0.0,0
2023-04-01 22:20:00,2.007984877,0.0,0.0,468.0,22.48999977,0.0,0
2023-04-01 22:25:00,2.045583248,0.0,0.0,468.0,22.51000023,0.0,0
2023-04-01 22:30:00,1.967925668,0.0,0.0,468.0,22.61000061,0.0,0
2023-04-01 22:35:00,1.973848343,0.0,0.0,468.0,22.32999992,0.0,0
2023-04-01 22:40:00,1.933746934,0.0,0.0,468.0,22.32999992,0.0,0
2023-04-01 22:45:00,2.019318342,0.0,0.0,468.0,22.44000053,0.0,0
2023-04-01 22:50:00,2.03815341,0.0,0.0,468.0,22.35000038,0.0,0
2023-04-01 22:55:00,2.068677664,0.0,0.0,468.0,22.26000023,0.0,0
2023-04-01 23:00:00,2.029533863,0.0,0.0,468.0,22.35000038,0.0,0
2023-04-01 23:05:00,1.942076206,0.0,0.0,468.0,22.32999992,0.0,0
2023-04-01 23:10:00,1.926882982,0.0,0.0,468.0,22.30999947,0.0,0
2023-04-01 23:15:00,2.01553154,0.0,0.0,468.0,22.30999947,0.0,0
2023-04-01 23:20:00,1.975998282,0.0,0.0,468.0,22.30999947,0.0,0
2023-04-01 23:25:00,1.93849957,0.0,0.0,468.0,22.30999947,0.0,0
2023-04-01 23:30:00,1.917131662,0.0,0.0,468.0,22.29000092,0.0,0
2023-04-01 23:35:00,1.929091573,0.0,0.0,468.0,22.14999962,0.0,0
2023-04-01 23:40:00,1.93876338,0.0,0.0,468.0,22.19000053,0.0,0
2023-04-01 23:45:00,1.924484134,0.0,0.0,468.0,22.17000008,0.0,0
2023-04-01 23:50:00,1.92912674,0.0,0.0,468.0,22.26000023,0.0,0
2023-04-01 23:55:00,1.923125029,0.0,0.0,468.0,22.07999992,0.0,0
2023-04-02 00:00:00,1.952687979,0.0,0.0,468.0,22.19000053,0.0,0
2023-04-02 00:05:00,1.988791823,0.0,0.0,468.0,22.14999962,0.0,0
2023-04-02 00:10:00,1.964348078,0.0,0.0,468.0,22.04000092,0.0,0
2023-04-02 00:15:00,1.94417274,0.0,0.0,468.0,22.10000038,0.0,0
2023-04-02 00:20:00,1.983314395,0.0,0.0,468.0,21.96999931,0.0,0
2023-04-02 00:25:00,1.999367833,0.0,0.0,468.0,22.10000038,0.0,0
2023-04-02 00:30:00,1.983733296,0.0,0.0,468.0,22.05999947,0.0,0
2023-04-02 00:35:00,1.982560754,0.0,0.0,468.0,22.12999916,0.0,0
2023-04-02 00:40:00,2.029569149,0.0,0.0,468.0,21.98999977,0.0,0
2023-04-02 00:45:00,1.971748114,0.0,0.0,468.0,22.05999947,0.0,0
2023-04-02 00:50:00,1.988786817,0.0,0.0,468.0,21.92000008,0.0,0
2023-04-02 00:55:00,2.061979771,0.0,0.0,468.0,22.04000092,0.0,0
2023-04-02 01:00:00,2.029401302,0.0,0.0,468.0,22.04000092,0.0,0
2023-04-02 01:05:00,2.007453919,0.0,0.0,468.0,22.05999947,0.0,0
2023-04-02 01:10:00,1.999989867,0.0,0.0,468.0,21.82999992,0.0,0
2023-04-02 01:15:00,2.00838232,0.0,0.0,468.0,21.96999931,0.0,0
2023-04-02 01:20:00,2.054786205,0.0,0.0,468.0,21.87000084,0.0,0
2023-04-02 01:25:00,1.962479949,0.0,0.0,468.0,21.92000008,0.0,0
